Id,gender,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
16,male,Slightly Disagree,Definitely Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Slightly Agree,Slightly Agree
17,nonbinary,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree
18,female,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Disagree
19,female,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Disagree
20,female,Definitely Disagree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree
21,female,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree
22,nonbinary,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Slightly Agree,Definitely Disagree,Slightly Agree,Definitely Disagree,Slightly Disagree
28,nonbinary,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree
29,female,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree
31,female,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree
34,nonbinary,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree
35,nonbinary,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Disagree
39,female,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Slightly Disagree,Definitely Disagree,Definitely Agree,Slightly Disagree
40,nonbinary,Slightly Agree,Definitely Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Agree
41,male,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Definitely Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree
42,female,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Disagree,Slightly Agree,Slightly Agree
43,male,Definitely Agree,Slightly Disagree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Disagree,Slightly Agree,Slightly Agree,Definitely Disagree
44,male,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree
45,male,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Disagree,Definitely Disagree,Definitely Disagree,Definitely Agree
46,nonbinary,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Disagree,Slightly Agree
47,female,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Disagree
48,nonbinary,Definitely Agree,Definitely Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Definitely Disagree
49,nonbinary,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Disagree,Definitely Disagree,Definitely Agree,Slightly Disagree
50,female,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Definitely Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree
51,nonbinary,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Disagree,Definitely Disagree,Definitely Agree,Slightly Agree
